Ticker,Name,MarketCap,ChangesRatio,Market
091990,셀트리온헬스케어,115948억,-2.49,코스닥
028050,삼성엔지니어링,73108억,0.27,코스피
000100,유한양행,57632억,-0.66,코스피
180640,한진칼,31979억,-2.15,코스피
004370,농심,28801억,3.16,코스피
277810,레인보우로보틱스,26759억,1.46,코스닥
214150,클래시스,22575억,3.41,코스닥
192820,코스맥스,16128억,6.76,코스피
161890,한국콜마,13294억,2.29,코스피
336570,원텍,11842억,-0.37,코스닥
009970,영원무역홀딩스,11427억,6.35,코스피
310210,보로노이,11231억,2.07,코스닥
065350,신성델타테크,10994억,0.0,코스닥
105630,한세실업,8720억,7.39,코스피
091120,이엠텍,8481억,14.72,코스닥
087010,펩트론,7694억,-3.62,코스닥
025980,아난티,7650억,1.28,코스닥
006120,SK디스커버리,7501억,-0.51,코스피
228760,지노믹트리,6733억,9.62,코스닥
085620,미래에셋생명,6665억,0.0,코스피
352480,씨앤씨인터내셔널,6549억,0.0,코스닥
047310,파워로직스,5759억,29.99,코스닥
068400,SK렌터카,5561억,-3.76,코스피
117730,티로보틱스,5518억,16.75,코스닥
000400,롯데손해보험,5409억,0.17,코스피
005180,빙그레,5251억,12.45,코스피
243070,휴온스,5204억,0.23,코스닥
257720,실리콘투,5098억,4.58,코스닥
082920,비츠로셀,4923억,3.02,코스닥
200670,휴메딕스,4702억,2.02,코스닥
206640,바디텍메드,4291억,2.47,코스닥
044490,태웅,4162억,5.91,코스닥
017940,E1,4116억,0.67,코스피
018290,브이티,3986억,5.25,코스닥
314930,바이오다인,3670억,4.03,코스닥
002030,아세아,3586억,-1.52,코스피
056080,유진로봇,3537억,-4.84,코스닥
058820,CMG제약,3472억,-1.77,코스닥
084110,휴온스글로벌,3250억,2.59,코스닥
096760,JW홀딩스,3132억,1.29,코스피
204620,글로벌텍스프리,2963억,14.89,코스닥
011330,유니켐,2778억,26.03,코스피
060590,씨티씨바이오,2660억,3.09,코스닥
214680,디알텍,2629억,-2.55,코스닥
051360,토비스,2593억,-0.06,코스닥
175140,인포마크,2136억,2.74,코스닥
092730,네오팜,2117억,-0.96,코스닥
261200,덴티스,2034억,2.93,코스닥
017370,우신시스템,1804억,-0.4,코스피
007210,벽산,1776억,-2.08,코스피
173130,오파스넷,1709억,1.12,코스닥
214420,토니모리,1573억,0.62,코스피
069460,대호에이엘,1449억,-4.38,코스피
065130,탑엔지니어링,1423억,29.88,코스닥
086710,선진뷰티사이언스,1239억,-2.4,코스닥
309930,오하임아이엔티,1234억,-1.36,코스닥
007980,태평양물산,1043억,-2.28,코스피
044820,코스맥스비티아이,991억,0.78,코스피
002230,피에스텍,887억,0.44,코스닥
223250,드림씨아이에스,824억,-2.73,코스닥
208140,정다운,817억,2.04,코스닥
027970,세하,756억,-0.76,코스피
286750,나노브릭,678억,-5.29,코스닥
046970,우리로,558억,15.31,코스닥
322180,티라유텍,423억,20.16,코스닥
191410,육일씨엔에쓰,405억,2.62,코스닥
101000,상상인인더스트리,400억,0.24,코스닥
