Ticker,Name,MarketCap,ChangesRatio,Market
271560,오리온,49657억,5.72,코스피
004370,농심,28801억,3.16,코스피
111770,영원무역,28758억,7.1,코스피
069960,현대백화점,16569억,6.31,코스피
034230,파라다이스,16510억,3.03,코스닥
192820,코스맥스,16128억,6.76,코스피
007310,오뚜기,15631억,2.77,코스피
003230,삼양식품,13326억,29.98,코스피
005300,롯데칠성,12694억,0.59,코스피
009970,영원무역홀딩스,11427억,6.35,코스피
032350,롯데관광개발,10909억,15.1,코스피
003690,코리안리,10660억,5.58,코스피
280360,롯데웰푸드,9925억,0.38,코스피
001800,오리온홀딩스,9629억,0.79,코스피
105630,한세실업,8720억,7.39,코스피
300720,한일시멘트,8713억,1.86,코스피
091120,이엠텍,8481억,14.72,코스닥
085660,차바이오텍,7979억,1.72,코스닥
007700,F&F홀딩스,7756억,6.56,코스피
228760,지노믹트리,6733억,9.62,코스닥
358570,지아이이노베이션,6559억,1.02,코스닥
001680,대상,6348억,2.35,코스피
000640,동아쏘시오홀딩스,6044억,1.82,코스피
005610,SPC삼립,6023억,2.05,코스피
049770,동원F&B,5876억,4.64,코스피
047310,파워로직스,5759억,29.99,코스닥
006730,서부T&D,5756억,5.06,코스닥
117730,티로보틱스,5518억,16.75,코스닥
136510,스마트솔루션즈,5509억,0.0,코스닥
069080,웹젠,5459억,0.32,코스닥
005180,빙그레,5251억,12.45,코스피
084850,아이티엠반도체,5205억,0.44,코스닥
034310,NICE,4887억,2.79,코스피
044490,태웅,4162억,5.91,코스닥
017810,풀무원,4128억,2.56,코스피
017940,E1,4116억,0.67,코스피
015540,쎌마테라퓨틱스,4010억,0.0,코스피
018290,브이티,3986억,5.25,코스닥
314930,바이오다인,3670억,4.03,코스닥
093230,이아이디,3393억,0.0,코스피
072710,농심홀딩스,3265억,1.73,코스피
084110,휴온스글로벌,3250억,2.59,코스닥
220100,퓨쳐켐,3216억,4.68,코스닥
078590,디아크,3166억,0.0,코스닥
024720,한국콜마홀딩스,3071억,5.09,코스피
204620,글로벌텍스프리,2963억,14.89,코스닥
452260,한화갤러리아,2945억,11.04,코스피
272550,삼양패키징,2891억,11.92,코스피
011330,유니켐,2778억,26.03,코스피
060590,씨티씨바이오,2660억,3.09,코스닥
293480,하나제약,2627억,3.36,코스피
003960,사조대림,2603억,2.16,코스피
121800,비덴트,2563억,0.0,코스닥
096040,이트론,2456억,0.0,코스닥
268600,셀리버리,2449억,0.0,코스닥
005440,현대지에프홀딩스,2352억,1.66,코스피
950170,JTC,2351억,7.35,코스닥
119830,아이텍,2293억,3.38,코스닥
318020,포인트모바일,2292억,0.0,코스닥
150840,인트로메딕,2237억,0.0,코스닥
175140,인포마크,2136억,2.74,코스닥
057880,피에이치씨,2067억,0.0,코스닥
033340,좋은사람들,2046억,0.0,코스닥
259630,엠플러스,1937억,2.6,코스닥
205100,엑셈,1906억,21.72,코스닥
138690,엘아이에스,1828억,0.0,코스닥
024810,이화전기,1816억,0.0,코스닥
194700,노바렉스,1795억,9.25,코스닥
123690,한국화장품,1748억,12.05,코스피
023910,대한약품,1704억,3.27,코스닥
070960,용평리조트,1685억,2.94,코스피
109070,컨버즈,1509억,0.0,코스피
065560,녹원씨엔아이,1504억,0.0,코스닥
065130,탑엔지니어링,1423억,29.88,코스닥
311690,CJ 바이오사이언스,1276억,8.77,코스닥
003650,미창석유,1225억,2.18,코스피
215090,휴센텍,1208억,0.0,코스닥
